sentence_id,dialogue_id,utterance_de,speaker,label,orig_dialogue_id
4,16,Bob wollte auf diese Weise Flutschäden verhindern.,Phoebe,neutral,16
5,16,"Tja, oder er hat vielleicht eine megagroße Katze.",Ross,neutral,16
0,17,Seht ihr den Blinden da? Der wird von mir zusammengeschlagen.,Joey,anger,17
1,17,"Weißt du, ich komme gleich mit einer supergroßen Szene.",Joey,joy,17
2,17,"Sag ihr mal, dass du supergroße Pläne hast. Bestimmt würde sie das verstehen.",Chandler,neutral,17
3,17,Was machst du da?,Monica,neutral,17
4,17,Ich kann da nicht hinsehen. Das ist zu gruselig.,Rachel,fear,17
5,17,- Aha. - Der Werbespot für Windeln?,Monica,neutral,17
6,17,"Du weißt doch, dass ich das Rumgebrülle von Babys kaum ertrage.",Rachel,fear,17
7,17,"- CAITLIN: Pizza-Service. - Ist gut, ich werde aufmachen!",Caitlin,joy,17
8,17,"- CAITLIN: Pizza-Service. - Ist gut, ich werde aufmachen!",Ross,joy,17
9,17,- CAITLIN: Hi. - Hi.,Caitlin,joy,17
10,17,- CAITLIN: Hi. - Hi.,Ross,joy,17
0,18,"sehen, wie lange wir den Ball werfen?",Ross,neutral,18
1,18,"- Äh, den Ball werfen. - Ja?",Joey,neutral,18
2,18,NOT FOUND,Ross,neutral,18
3,18,"Wäre es nicht toll, wenn wir 2 Stunden durchhalten würden?",Joey,joy,18
4,18,- Oje. - ROSS: Was?,Ross,neutral,18
5,18,"- Na, dann los! - Ok.",Joey,joy,18
6,18,- Oje. - ROSS: Was?,Joey,fear,18
7,18,- Oje. - ROSS: Was?,Ross,neutral,18
8,18,und Rachel ist im Badezimmer!,Joey,sadness,18
9,18,"JOEY: Ich hätte nicht gedacht, dass wir das hinkriegen.",Joey,surprise,18
10,18,"Du darfst aber nicht die Hand wechseln, kapiert?",Ross,fear,18
0,19,Euch Jungs.,Joey,neutral,19
1,19,Euch Jungs.,Phoebe,neutral,19
0,20,- Wie war's denn mit Erin? - Das war unglaublich.,Rachel,neutral,20
1,20,Wir hatten so viel Spaß.,Joey,joy,20
2,20,- Dann bist du nicht böse auf uns? - Ihr hattet ja recht.,Phoebe,joy,20
3,20,Hey! Ja!,Joey,joy,20
4,20,Hey! Ja!,Joey,joy,20
5,20,Hey! Ja!,Joey,joy,20
6,20,NOT FOUND,Joey,joy,20
7,20,Es war 1.000-mal besser als die erste Verabredung.,Joey,joy,20
8,20,Hey! Ja!,Joey,neutral,20
9,20,Wir beide waren nervös.,Joey,neutral,20
10,20,"- Wart ihr nicht im Bett? - Doch, das finde ich beruhigend.",Phoebe,neutral,20
11,20,NOT FOUND,Joey,neutral,20
12,20,NOT FOUND,Joey,joy,20
13,20,Wir interessieren uns für dasselbe.,Joey,joy,20
14,20,"Sie liebt Sandwiches! Und Sport! Nur, sie ist leider ein Met-Fan.",Joey,joy,20
15,20,- Heirate nicht vor mir! - Keine Sorge.,Rachel,surprise,20
16,20,Oh!,Joey,neutral,20
0,21,Wie macht sie das nur immer?,Monica,surprise,21
1,21,Ich könnte nicht in aller Öffentlichkeit schlafen.,Ross,neutral,21
2,21,- Wie friedlich sie da liegt. - Ja.,Monica,joy,21
3,21,Was? Was? Hi.,Phoebe,surprise,21
4,21,Es ist alles ok. Du bist nur eingenickt.,Ross,neutral,21
5,21,Was ist denn mit dir los?,Monica,surprise,21
6,21,- Konnte letzte Nacht nicht schlafen. ROSS: Warum?,Phoebe,anger,21
7,21,Was? Was? Hi.,Ross,neutral,21
8,21,und beide sind etwas unsicher im Bett.,Phoebe,disgust,21
9,21,Und taub.,Phoebe,neutral,21
10,21,"Sie versichern sich andauernd, dass es ihnen gut geht und sie Spaß haben.",Phoebe,neutral,21
11,21,"Ihr habt keine Ahnung, wie laut die sind.",Phoebe,disgust,21
12,21,Du kannst bei mir und Rachel bleiben.,Monica,neutral,21
13,21,Danke.,Phoebe,joy,21
0,22,Was ist das? Da ist was explodiert.,Joey,disgust,22
1,22,"Unsinn, das ist nur ihre Fruchtblase, die geplatzt ist.",Nurse,neutral,22
2,22,"Ihre Fruchtblase? Was macht man denn, wenn die Fruchtblase platzt?",Joey,surprise,22
3,22,Atmen. Atmen. Atmen.,Nurse,neutral,22
0,23,"Joey greift zur Knarre und er hat keine Hemmungen, dich umzubringen.",Monica,surprise,23
1,23,"Ich weiß, es ist nett, dass du das erwähnst.",Chandler,anger,23
2,23,NOT FOUND,Phoebe,surprise,23
3,23,NOT FOUND,Rachel,joy,23
4,23,- War es vielleicht Gina? - Welche war Gina?,Monica,neutral,23
5,23,- War es vielleicht Gina? - Welche war Gina?,Ross,neutral,23
6,23,Die Dunkle mit der aufgetürmten Frisur und den Ohrringen.,Rachel,neutral,23
7,23,"MONICA: Das war nicht Gina, sondern Dina.",Monica,neutral,23
8,23,Seht ihr? Ihr könnt sie auch nicht auseinanderhalten. Bla.,Chandler,surprise,23
0,24,"Wieso nicht? Du findest es ja auch lustig, dass ich am Samstag Mark sehe.",Rachel,neutral,24
1,24,Mark hat den gleichen Beruf wie ich.,Rachel,neutral,24
2,24,Du würdest doch nie mit mir zu so einem Vortrag gehen wollen.,Rachel,neutral,24
3,24,Ich würde sehr gern mit dir da hingehen.,Ross,joy,24
4,24,- Wirklich? - Ja.,Rachel,surprise,24
5,24,Ich trage doch auch Kleider. Ich suche sie mir sogar selbst aus!,Ross,neutral,24
6,24,"Also, im Grunde bin ich so etwas Ähnliches wie",Ross,neutral,24
7,24,"Na, schön, Ross, ich würde mich freuen, wenn du mitkommen würdest.",Rachel,joy,24
8,24,Jetzt bin ich ganz nervös. Was soll ich denn anziehen?,Ross,fear,24
0,25,"Ja, wir haben's geschafft! Das ist doch ganz unglaublich, oder?",Mr. Treeger,joy,25
1,25,Wir sind atemberaubend! Wir sind einfach nicht zu schlagen!,Joey,joy,25
2,25,"Ja, das ist wahr. Ich danke Ihnen, Tribbiani. Ha.",Mr. Treeger,joy,25
3,25,- Viel Glück. - Danke!,Joey,joy,25
4,25,"Ach, so! Ja, ja, schon klar!",Mr. Treeger,neutral,25
5,25,Oder wollen Sie noch mal üben? Wie wär's mit dem Foxtrott? Oder Tango?,Joey,neutral,25
6,25,"Wissen Sie, ich kann jetzt auch mit Frauen tanzen, nun habe ich es drauf.",Mr. Treeger,neutral,25
7,25,"Ok, ha.",Joey,neutral,25
8,25,"Ok, ha.",Mr. Treeger,neutral,25
9,25,- Zeigen Sie es den Weibern! - Ok.,Joey,neutral,25
10,25,"Hey, äh... Wollen Sie nicht mitkommen? Marge hat eine nette Freundin.",Mr. Treeger,neutral,25
11,25,- Wirklich? - Ja.,Joey,surprise,25
12,25,"Sie würden gut zusammenpassen, sie hat genau meine Figur.",Mr. Treeger,neutral,25
13,25,"Nein, vielen Dank! Danke.",Joey,neutral,25
0,26,"Oh, Mann, ist das nervenaufreibend. Wie hältst du das aus?",Ross,surprise,26
1,26,"Ich werde nur selten ein zweites Mal bestellt, von daher...",Joey,neutral,26
2,26,"Ist es ein gutes Zeichen, dass wir warten sollen?",Carol,surprise,26
3,26,Keine Ahnung.,Joey,neutral,26
4,26,"Wir haben uns jetzt entschieden für Raymond, Ben, Kyle",The Casting Director,neutral,26
5,26,NOT FOUND,Ross,joy,26
6,26,Ich werde vielleicht Bens Vater spielen.,Joey,joy,26
7,26,NOT FOUND,Ross,joy,26
8,26,FRAU: <i>Das geht leider nicht.</i>,The Casting Director,neutral,26
9,26,kombinieren wir Sie mit Raymond und Kyle mit Ben.,The Casting Director,neutral,26
10,26,"Das heißt, dass Sie 2 es werden oder Sie 2.",The Casting Director,neutral,26
11,26,NOT FOUND,Joey,sadness,26
12,26,- Das wird immer verrückter. - Das kannst du laut sagen.,Ross,neutral,26
13,26,Wir sind die besten Freunde. Deswegen ist es verrückt.,Ross,neutral,26
0,27,NOT FOUND,Monica,sadness,27
1,27,"Ja, ich verstehe. Ok, es ist so weit.",Chandler,joy,27
0,28,Drei Riesenkerlen konnte ich so richtig wehtun.,Ross,anger,28
1,28,NOT FOUND,Ross,anger,28
2,28,Einem habe ich eine blutige Nase verpasst!,Ross,anger,28
3,28,Das habe ich dir zu verdanken.,Ross,joy,28
4,28,- Du bist wirklich einmalig. - Du hast eine Gehirnerschütterung.,Emily,fear,28
5,28,Ich meine es ernst. Ich danke dir.,Ross,joy,28
6,28,"Entschuldige, hat das wehgetan?",Emily,fear,28
7,28,NOT FOUND,Ross,sadness,28
0,29,"Das mit Mike war interessant. Ich weiß nicht, was nun",Monica,surprise,29
1,29,- aus Phoebe und David wird. - Aber ich. Soll ich was verraten?,Chandler,joy,29
2,29,denn du strahlst vor unverhohlener Freude.,Monica,neutral,29
3,29,- David macht Phoebe einen Antrag. - Was? Warum?,Chandler,joy,29
4,29,NOT FOUND,Monica,surprise,29
6,29,Wir hatten doch was abgemacht.,Monica,anger,29
7,29,Du sollst anderen Leuten keine Ratschläge geben!,Monica,anger,29
8,29,Mach doch lieber einen unpassenden Witz.,Monica,anger,29
9,29,NOT FOUND,Chandler,neutral,29
10,29,"Phoebe hängt immer noch sehr an Mike. Sie wird ablehnen,",Monica,anger,29
11,29,"es wird Davids Herz brechen, sie kommen nicht damit klar",Monica,anger,29
12,29,NOT FOUND,Chandler,surprise,29
13,29,- Das wollten wir nicht verpassen. - Ja.,Ross,neutral,29
0,30,"Das ist mein Vater, Paul Stevens. Dad, das ist Ross Geller.",Elizabeth,neutral,30
1,30,"Freut mich sehr, Paul.",Ross,joy,30
2,30,Ich werde von Elizabeths Freunden mit Mr. Stevens angesprochen.,Paul,neutral,30
3,30,"Ja, natürlich, Mr. Stevens.",Ross,neutral,30
4,30,wo liegt Ihr Problem?,Paul,anger,30
5,30,NOT FOUND,Ross,surprise,30
6,30,Wieso finden Sie keine Gleichaltrige?,Paul,anger,30
7,30,Ha. Das finde ich witzig...,Ross,fear,30
8,30,"Ich find's nicht gut, dass Sie sich mit meiner Tochter treffen.",Paul,neutral,30
9,30,NOT FOUND,Ross,neutral,30
10,30,"Ok, das kann ich verstehen.",Ross,neutral,30
11,30,"Wenn Sie mir, äh, eine Chance geben, werden Sie Ihre Meinung ändern.",Ross,fear,30
12,30,NOT FOUND,Paul,neutral,30
13,30,NOT FOUND,Ross,neutral,30
14,30,"Ok, Sie kriegen eine Chance, um mich umzustimmen.",Paul,anger,30
15,30,(STAMMELT),Elizabeth,surprise,30
0,31,- Zeigen Sie's mir im Programmheft. - Die wird noch nicht ausgestrahlt.,Joey,neutral,31
1,31,Dann kommen Sie auch noch nicht an die Wand.,The Dry Cleaner,neutral,31
2,31,"Na gut, ich bringe Ihnen ein Band vorbei. Hm?",Joey,neutral,31
3,31,"Also, ähm, haben Sie Sachen von Matt Lauer da?",Phoebe,neutral,31
0,32,NOT FOUND,Joey and Chandler,surprise,32
1,32,Und dann waren seine Hände plötzlich gar nicht mehr das Problem.,Phoebe,neutral,32
2,32,War er...?,Monica,surprise,32
3,32,Ein Pfadfinderlager hätte darunter Platz gehabt.,Phoebe,neutral,32
4,32,"- Uh, was? - Uma Thurman.",Rachel,surprise,32
5,32,Uma Thurman!,Phoebe,neutral,32
6,32,GRUPPE: Uh!,Monica,surprise,32
7,32,- Oh. - Die Schauspielerin!,Ross,surprise,32
8,32,"Danke, Rachel.",Ross,neutral,32
9,32,"- Und, was machst du jetzt? - Sag es ihr!",Chandler,surprise,32
10,32,Du musst es ihr sagen.,Ross,joy,32
11,32,Du musst es ihr sagen! Es ist deine moralische Verpflichtung,Ross,joy,32
12,32,als Freundin und Frau. Das ist eine feministische Frage.,Ross,anger,32
13,32,Jungs? Jungs?,Ross,anger,32
14,32,Jungs? Jungs?,Ross,anger,32
15,32,Du musst es ihr sagen.,Chandler,neutral,32
16,32,Feminismus? Mein Reden.,Joey,neutral,32
17,32,Sie wird mich hassen.,Phoebe,fear,32
18,32,"Ja, tja.",Ross,neutral,32
0,33,"Hey, du heiratest mich, klar?",Chandler,fear,33
1,33,"Na, dir für heute Abend alles Gute wünschen.",Joey,joy,33
2,33,"- Hast du auch den Ring? - Ja, hier in meiner Tasche.",Ross,neutral,33
3,33,"- Hast du auch den Ring? - Ja, hier in meiner Tasche.",Chandler,neutral,33
4,33,"- Phoebe. - Oh, ha, ha.",Phoebe,surprise,33
5,33,Würdet ihr jetzt verschwinden? Ich möchte sie doch überraschen.,Chandler,neutral,33
6,33,"Genau. Los, Leute, verschwindet.",Ross,neutral,33
7,33,NOT FOUND,Monica,neutral,33
8,33,"- Du siehst umwerfend aus. - Oh, danke schön.",Chandler,joy,33
9,33,Was grinst ihr denn so?,Monica,joy,33
10,33,dass wir zu dieser Wohltätigkeitsveranstaltung gehen.,Rachel,neutral,33
0,34,NOT FOUND,Rachel,neutral,34
1,34,Ich finde es hier warm und deswegen ziehe ich mir die Jacke aus.,Rachel,neutral,34
2,34,Ich wollte dir das nur sagen.,Rachel,neutral,34
3,34,"Na, das ist aber wahnsinnig lustig.",Ross,joy,34
4,34,Ich werde nichts mehr sagen.,Rachel,neutral,34
5,34,Das mit gestern Abend war dir doch auch peinlich.,Ross,neutral,34
6,34,"Nein, da irrst du dich. Ich bin einfach viel selbstbewusster als du.",Rachel,neutral,34
7,34,NOT FOUND,Ross,neutral,34
8,34,"Nein, das würde ich nicht sagen. Ich werde nicht so schnell verlegen wie du.",Rachel,neutral,34
9,34,Was? Du warst total verlegen!,Ross,surprise,34
10,34,"Nein, da irrst du dich. Ich bin einfach viel selbstbewusster als du.",Rachel,neutral,34
11,34,- Meinst du wirklich? - Ja.,Ross,neutral,34
12,34,NOT FOUND,Rachel,neutral,34
13,34,NOT FOUND,Ross,disgust,34
0,35,"Ich kann's nicht fassen, ich fahre Fahrrad!",Phoebe,surprise,35
1,35,(LACHT),Phoebe,joy,35
2,35,"Ich kann's nicht fassen, ich fahre Fahrrad!",Phoebe,joy,35
3,35,"Ich hätte nie geglaubt, dass ich das schaffe. Danke.",Phoebe,joy,35
4,35,NOT FOUND,Phoebe,joy,35
5,35,Denn du hast dich deinen Ängsten gestellt und sie überwunden.,Ross,joy,35
0,36,Ich möchte auf keinen von euch beiden verzichten.,Ross,neutral,36
1,36,"Manche wären froh, wenn sie einen guten Freund hätten.",Ross,neutral,36
2,36,"Danke, Mann.",Chandler,neutral,36
3,36,(SCHLUCHZT) Ich will mir da hinten mal was ansehen.,Joey,neutral,36
4,36,- So ein Baby. - Totales Weichei.,Chandler,sadness,36
5,36,- So ein Baby. - Totales Weichei.,Ross,sadness,36
0,37,"Ich habe sehr viele Möglichkeiten, die du versuchen kannst.",Monica,neutral,37
1,37,"Wow, das sieht ja toll aus.",Joey,joy,37
2,37,"Ok, das ist eine Pilzkappe. Und, äh, das ist so was Ähnliches wie Salami.",Monica,joy,37
3,37,- Und... Und die Zahnstocher? - Die tun nicht weh.,Joey,disgust,37
0,38,"Du hast 'ne andere geküsst, mein Lieber.",Monica,anger,38
1,38,NOT FOUND,Chandler,neutral,38
2,38,NOT FOUND,Monica,joy,38
3,38,Ich werd mal die Blumen ins Wasser stellen.,Ross,neutral,38
4,38,Hast du die bei der Hochzeitsparty geklaut?,Phoebe,surprise,38
5,38,"Nein, aus der Hotelhalle.",Ross,neutral,38
6,38,"Wenn die denken, sie können mir einen Schmuddelfilm und Nüsse anrechnen,",Ross,anger,38
7,38,"Hey, mein Pulli!",Ross,surprise,38
8,38,"Hey, mein Pulli!",Ross,surprise,38
9,38,Den vermiss ich schon seit einem Monat.,Ross,surprise,38
10,38,Oh mein Gott!,Phoebe,surprise,38
11,38,Oh mein Gott!,Joey,surprise,38
0,39,"Glücklich? Du findest, dass ich glücklich sein sollte?",Kate,anger,39
